"","cti","ActSubst.Name","unit","dosis","DateNew"
"9765",248175,"METHIONINE","MG/ML","3.40",""
"9766",248175,"PHENYLALANINE","MG/ML","4.76",""
"9767",248175,"PROLINE","MG/ML","5.78",""
"9768",248175,"SERINE","MG/ML","4.25",""
"9769",248175,"SODIUM ACETATE (TRIHYDRATE)","MG/ML","5.94",""
"9770",248175,"SODIUM CHLORIDE","MG/ML","1.54",""
"9771",248175,"THREONINE","MG/ML","3.57",""
"9772",248175,"TRYPTOPHAN","MG/ML","1.53",""
"9773",248175,"TYROSINE","MG/ML","0.34",""
"9774",248175,"VALINE","MG/ML","4.93",""
"9775",248202,"DISOPYRAMIDE","MG","100.00",""
"9776",248211,"DISOPYRAMIDE PHOSPHATE","","Q.S.",""
"9777",248211,"DISOPYRAMIDUM PR EXPRESS QUANTITATIVE","MG","250.00",""
"9778",248227,"DESFLURANE","MG/G","1000.00",""
"9779",248254,"ALANINE","MG/ML","17.60",""
"9780",248254,"ARGININE","MG/ML","9.78",""
"9781",248254,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.66",""
"9782",248254,"GLUCOSE (ANHYDROUS)","MG/ML","300.00",""
"9783",248254,"GLYCINE","MG/ML","8.76",""
"9784",248254,"HISTIDINE","MG/ML","4.08",""
"9785",248254,"ISOLEUCINE","MG/ML","5.10",""
"9786",248254,"KALII PHOSPHAS DIBASIC (= DIKALII HYDROGENOPHOSPHAS)","MG/ML","5.22",""
"9787",248254,"LEUCINE","MG/ML","6.20",""
"9788",248254,"LYSINE HYDROCHLORIDE","MG/ML","6.16",""
"9789",248254,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","1.02",""
"9790",248254,"METHIONINE","MG/ML","3.40",""
"9791",248254,"PHENYLALANINE","MG/ML","4.76",""
"9792",248254,"PROLINE","MG/ML","5.78",""
"9793",248254,"SERINE","MG/ML","4.25",""
"9794",248254,"SODIUM ACETATE (TRIHYDRATE)","MG/ML","5.94",""
"9795",248254,"SODIUM CHLORIDE","MG/ML","1.54",""
"9796",248254,"THREONINE","MG/ML","3.57",""
"9797",248254,"TRYPTOPHAN","MG/ML","1.53",""
"9798",248254,"TYROSINE","MG/ML","0.34",""
"9799",248254,"VALINE","MG/ML","4.93",""
"9800",248281,"ALANINE","MG/ML","17.60",""
"9801",248281,"ARGININE","MG/ML","9.78",""
"9802",248281,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.66",""
"9803",248281,"GLUCOSE (ANHYDROUS)","MG/ML","300.00",""
"9804",248281,"GLYCINE","MG/ML","8.76",""
"9805",248281,"HISTIDINE","MG/ML","4.08",""
"9806",248281,"ISOLEUCINE","MG/ML","5.10",""
"9807",248281,"KALII PHOSPHAS DIBASIC (= DIKALII HYDROGENOPHOSPHAS)","MG/ML","5.22",""
"9808",248281,"LEUCINE","MG/ML","6.20",""
"9809",248281,"LYSINE HYDROCHLORIDE","MG/ML","6.16",""
"9810",248281,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","1.02",""
"9811",248281,"METHIONINE","MG/ML","3.40",""
"9812",248281,"PHENYLALANINE","MG/ML","4.76",""
"9813",248281,"PROLINE","MG/ML","5.78",""
"9814",248281,"SERINE","MG/ML","4.25",""
"9815",248281,"SODIUM ACETATE (TRIHYDRATE)","MG/ML","5.94",""
"9816",248281,"SODIUM CHLORIDE","MG/ML","1.54",""
"9817",248281,"THREONINE","MG/ML","3.57",""
"9818",248281,"TRYPTOPHAN","MG/ML","1.53",""
"9819",248281,"TYROSINE","MG/ML","0.34",""
"9820",248281,"VALINE","MG/ML","4.93",""
"9821",248385,"CALCIUM FOLINATE","MG","16.20",""
"9822",248394,"CETIRIZINE (DI)HYDROCHLORIDE","MG","10.00",""
"9823",248403,"TESTOSTERONE","MG","25.00",""
"9824",248412,"TESTOSTERONE","MG","50.00",""
"9825",248421,"TESTOSTERONE","MG","25.00",""
"9826",248437,"TESTOSTERONE","MG","50.00",""
"9827",248473,"ATOVAQUONE","MG","62.50",""
"9828",248473,"PROGUANIL HYDROCHLORIDE","MG","25.00",""
"9829",248516,"RANITIDINE HYDROCHLORIDE","MG","167.50",""
"9830",248665,"HEXAMIDINE DIISETIONATE","MG/ML","1.00",""
"9831",248701,"EBASTINE","MG","20.00",""
"9832",248717,"LEVOTHYROXINE SODIUM","MCG","75.00",""
"9833",248726,"LEVOTHYROXINE SODIUM","MCG","175.00",""
"9834",248762,"PRUNI AFRICANAE (CORTEX) EXTRACTUM","MG","25.00",""
"9835",248762,"URTICAE DIOICAE (RADIX) EXTRACTUM SICCUM","MG","300.00",""
"9836",248857,"CLOPIDOGREL HYDROGEN SULPHATE","MG","97.87",""
"9837",248866,"CLOPIDOGREL HYDROGEN SULPHATE","MG","97.87",""
"9838",248875,"CLOPIDOGREL HYDROGEN SULPHATE","MG","97.87",""
"9839",248884,"CLOPIDOGREL HYDROGEN SULPHATE","MG","97.87",""
"9840",248893,"CLOPIDOGREL HYDROGEN SULPHATE","MG","97.87",""
"9841",248902,"CLOPIDOGREL HYDROGEN SULPHATE","MG","97.87",""
"9842",248936,"PIROXICAM","MG","20.00",""
"9843",248945,"BIMATOPROST","MG/ML","0.30",""
"9844",248954,"HEPATITE B ANTIGENES VIRUS RECOMBINANT","","Q.S.",""
"9845",248963,"NITRIC OXIDE (= NITROGEN MONOXIDE - N0)","","Q.S.",""
"9846",249085,"EZETIMIBE","MG","10.00",""
"9847",249094,"EZETIMIBE","MG","10.00",""
"9848",249103,"TRAMADOL HYDROCHLORIDE","MG","100.00",""
"9849",249112,"TRAMADOL HYDROCHLORIDE","MG","150.00",""
"9850",249121,"TRAMADOL HYDROCHLORIDE","MG","200.00",""
"9851",249137,"NICOTINE (POLACRILEX)","MG","2.00",""
"9852",249146,"NICOTINE (POLACRILEX)","MG","4.00",""
"9853",249182,"SIMVASTATIN","MG","5.00",""
"9854",249191,"SIMVASTATIN","MG","5.00",""
"9855",249207,"SIMVASTATIN","MG","5.00",""
"9856",249216,"SIMVASTATIN","MG","20.00",""
"9857",249225,"SIMVASTATIN","MG","20.00",""
"9858",249234,"SIMVASTATIN","MG","20.00",""
"9859",249243,"SIMVASTATIN","MG","40.00",""
"9860",249252,"SIMVASTATIN","MG","40.00",""
"9861",249261,"SIMVASTATIN","MG","40.00",""
"9862",249496,"DOMPERIDONE MALEATE","MG","12.72",""
"9863",249566,"RANITIDINE HYDROCHLORIDE","MG","335.00",""
"9864",249575,"LORATADINE","MG","10.00",""
"9865",249584,"ACECLOFENAC","MG","100.00",""
"9866",249925,"PIRACETAM","MG/ML","330.00",""
"9867",250022,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","5.00",""
"9868",250031,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","5.00",""
"9869",250047,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","5.00",""
"9870",250056,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","5.00",""
"9871",250065,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","10.00",""
"9872",250074,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","10.00",""
"9873",250083,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","10.00",""
"9874",250092,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","10.00",""
"9875",250101,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","20.00",""
"9876",250117,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","20.00",""
"9877",250126,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","20.00",""
"9878",250135,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","20.00",""
"9879",250144,"RISPERIDONE","MG","0.50",""
"9880",250153,"RISPERIDONE","MG","1.00",""
"9881",250162,"RISPERIDONE","MG","2.00",""
"9882",250171,"AMBROXOL HYDROCHLORIDE","MG","20.00",""
"9883",250187,"ROSUVASTATIN CALCIUM","MG","10.40",""
"9884",250205,"ROSUVASTATIN CALCIUM","MG","10.40",""
"9885",250223,"ROSUVASTATIN CALCIUM","MG","20.80",""
"9886",250241,"ROSUVASTATIN CALCIUM","MG","20.80",""
"9887",250266,"ROSUVASTATIN CALCIUM","MG","41.60",""
"9888",250284,"ROSUVASTATIN CALCIUM","MG","41.60",""
"9889",250302,"YOHIMBINE HYDROCHLORIDE","MG","5.00",""
"9890",250311,"CALCIUM FOLINATE","MG","108.00",""
"9891",250327,"CALCIUM FOLINATE","MG","216.00",""
"9892",250336,"CALCIUM FOLINATE","MG","540.00",""
"9893",250345,"CALCIUM FOLINATE","MG","1080.00",""
"9894",250372,"ESCHERICHIA COLI EXTRACTUM (SS FORM X OM-89 LYOPHILISATUM)","MG","6.00",""
"9895",250381,"DUTASTERIDE","MG","0.50",""
"9896",250406,"CALCIUM CARBONATE","MG","625.00",""
"9897",250415,"DIOSMIN","MG","450.00",""
"9898",250415,"HESPERIDIN","MG","50.00",""
"9899",250424,"PEGVISOMANT","MG","10.00",""
"9900",250433,"PEGVISOMANT","MG","15.00",""
"9901",250442,"PEGVISOMANT","MG","20.00",""
"9902",250451,"MEMANTINE HYDROCHLORIDE","MG","10.00",""
"9903",250467,"MEMANTINE HYDROCHLORIDE","MG","10.00",""
"9904",250476,"MEMANTINE HYDROCHLORIDE","MG","10.00",""
"9905",250485,"MIGLUSTAT","MG","100.00",""
"9906",250704,"INSULINUM LYSPRO (RECOMBINANT)","UI/ML","100.00",""
"9907",250722,"INSULINUM LYSPRO (RECOMBINANT)","UI/ML","100.00",""
"9908",250731,"INSULINUM LYSPRO (PROTAMINI SUSPENSIO)","UI/ML","75.00",""
"9909",250731,"INSULINUM LYSPRO (RECOMBINANT)","UI/ML","25.00",""
"9910",250747,"INSULINUM LYSPRO (PROTAMINI SUSPENSIO)","UI/ML","50.00",""
"9911",250747,"INSULINUM LYSPRO (RECOMBINANT)","UI/ML","50.00",""
"9912",250756,"INSULINUM LYSPRO (RECOMBINANT)","UI/ML","100.00",""
"9913",250765,"INSULINUM LYSPRO (PROTAMINI SUSPENSIO)","UI/ML","75.00",""
"9914",250765,"INSULINUM LYSPRO (RECOMBINANT)","UI/ML","25.00",""
"9915",250774,"INSULINUM LYSPRO (PROTAMINI SUSPENSIO)","UI/ML","50.00",""
"9916",250774,"INSULINUM LYSPRO (RECOMBINANT)","UI/ML","50.00",""
"9917",250783,"PNEUMOCOCCAL SACCHARIDE CONJUGATED VACCINE, ADSORBED, 7-VALENT","","Q.S.",""
"9918",250792,"PNEUMOCOCCAL SACCHARIDE CONJUGATED VACCINE, ADSORBED, 7-VALENT","","Q.S.",""
"9919",250801,"FACTOR VIII HUMAN RECOMBINANT (OCTOCOG ALFA)","UI","2000.00",""
"9920",250817,"PIOGLITAZONE (HYDROCHLORIDE)","MG","15.00",""
"9921",250826,"PIOGLITAZONE (HYDROCHLORIDE)","MG","30.00",""
"9922",250862,"PARACETAMOL","MG","500.00",""
"9923",250871,"CALCIUM CARBONATE","MG","680.00",""
"9924",250871,"MAGNESIUM CARBONATE","MG","80.00",""
"9925",250975,"OFLOXACIN","MG","200.00",""
"9926",250993,"OFLOXACIN","MG","400.00",""
"9927",251045,"CARVEDILOL","MG","6.25",""
"9928",251054,"CARVEDILOL","MG","12.50",""
"9929",251063,"CARVEDILOL","MG","25.00",""
"9930",251072,"CARVEDILOL","MG","50.00",""
"9931",251185,"BISOPROLOL (HEMI)FUMARATE","MG","5.00",""
"9932",251185,"HYDROCHLOROTHIAZIDE","MG","12.50",""
"9933",251194,"BISOPROLOL (HEMI)FUMARATE","MG","5.00",""
"9934",251194,"HYDROCHLOROTHIAZIDE","MG","12.50",""
"9935",251203,"BISOPROLOL (HEMI)FUMARATE","MG","10.00",""
"9936",251203,"HYDROCHLOROTHIAZIDE","MG","25.00",""
"9937",251212,"BISOPROLOL (HEMI)FUMARATE","MG","10.00",""
"9938",251212,"HYDROCHLOROTHIAZIDE","MG","25.00",""
"9939",251246,"SODIUM CHLORIDE","MG/ML","300.00",""
"9940",251255,"SODIUM CHLORIDE","MG/ML","200.00",""
"9941",251273,"GLIMEPIRIDE","MG","3.00",""
"9942",251282,"GLIMEPIRIDE","MG","4.00",""
"9943",251307,"SODIUM CHLORIDE","MG/ML","300.00",""
"9944",251316,"SODIUM CHLORIDE","MG/ML","100.00",""
"9945",251325,"SODIUM CHLORIDE","MG/ML","200.00",""
"9946",251334,"SODIUM (DI) PHOSPATE","MG/ML","197.00",""
"9947",251343,"GLYCINE MAX MERR., DRY HYDROALCOHOLIC EXTRACT","MG","175.00",""
"9948",251352,"CARGLUMIC ACID (= N-CARBAMOYL-L-GLUTAMICUM ACIDUM)","MG","200.00",""
"9949",251361,"CARGLUMIC ACID (= N-CARBAMOYL-L-GLUTAMICUM ACIDUM)","MG","200.00",""
"9950",251377,"LEVETIRACETAM","MG/ML","100.00",""
"9951",251386,"SIROLIMUS","MG","2.00",""
"9952",251395,"SIROLIMUS","MG","2.00",""
"9953",251404,"AGALSIDASE BETA","MG","5.00",""
"9954",251413,"AGALSIDASE BETA","MG","5.00",""
"9955",251422,"AGALSIDASE BETA","MG","5.00",""
"9956",251431,"INSULINUM GLARGINUM","UI/ML","100.00",""
"9957",251447,"INSULINUM GLARGINUM","UI/ML","100.00",""
"9958",251456,"INSULINUM GLARGINUM","UI/ML","100.00",""
"9959",251465,"INSULINUM GLARGINUM","UI/ML","100.00",""
"9960",251474,"INSULINUM GLARGINUM","UI/ML","100.00",""
"9961",251483,"INSULINUM GLARGINUM","UI/ML","100.00",""
"9962",251492,"INSULINUM GLARGINUM","UI/ML","100.00",""
"9963",251501,"INSULINUM GLARGINUM","UI/ML","100.00",""
"9964",251517,"INSULINUM GLARGINUM","UI/ML","100.00",""
"9965",251526,"INSULINUM GLARGINUM","UI/ML","100.00",""
"9966",251544,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"9967",251544,"GLUCOSE (ANHYDROUS)","MG/ML","15.00",""
"9968",251544,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"9969",251544,"NATRII LACTAS","MG/ML","3.93",""
"9970",251544,"SODIUM CHLORIDE","MG/ML","5.64",""
"9971",251553,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"9972",251553,"GLUCOSE (ANHYDROUS)","MG/ML","15.00",""
"9973",251553,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"9974",251553,"NATRII LACTAS","MG/ML","3.93",""
"9975",251553,"SODIUM CHLORIDE","MG/ML","5.64",""
"9976",251562,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"9977",251562,"GLUCOSE (ANHYDROUS)","MG/ML","15.00",""
"9978",251562,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"9979",251562,"NATRII LACTAS","MG/ML","3.93",""
"9980",251562,"SODIUM CHLORIDE","MG/ML","5.64",""
"9981",251571,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"9982",251571,"GLUCOSE (ANHYDROUS)","MG/ML","15.00",""
"9983",251571,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"9984",251571,"NATRII LACTAS","MG/ML","3.93",""
"9985",251571,"SODIUM CHLORIDE","MG/ML","5.64",""
"9986",251587,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"9987",251587,"GLUCOSE (ANHYDROUS)","MG/ML","15.00",""
"9988",251587,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"9989",251587,"NATRII LACTAS","MG/ML","3.93",""
"9990",251587,"SODIUM CHLORIDE","MG/ML","5.64",""
"9991",251596,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"9992",251596,"GLUCOSE (ANHYDROUS)","MG/ML","22.73",""
"9993",251596,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"9994",251596,"NATRII LACTAS","MG/ML","3.93",""
"9995",251596,"SODIUM CHLORIDE","MG/ML","5.64",""
"9996",251605,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"9997",251605,"GLUCOSE (ANHYDROUS)","MG/ML","22.73",""
"9998",251605,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"9999",251605,"NATRII LACTAS","MG/ML","3.93",""
"10000",251605,"SODIUM CHLORIDE","MG/ML","5.64",""
"10001",251614,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"10002",251614,"GLUCOSE (ANHYDROUS)","MG/ML","22.73",""
"10003",251614,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10004",251614,"NATRII LACTAS","MG/ML","3.93",""
"10005",251614,"SODIUM CHLORIDE","MG/ML","5.64",""
"10006",251623,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"10007",251623,"GLUCOSE (ANHYDROUS)","MG/ML","22.73",""
"10008",251623,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10009",251623,"NATRII LACTAS","MG/ML","3.93",""
"10010",251623,"SODIUM CHLORIDE","MG/ML","5.64",""
"10011",251632,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"10012",251632,"GLUCOSE (ANHYDROUS)","MG/ML","22.73",""
"10013",251632,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10014",251632,"NATRII LACTAS","MG/ML","3.93",""
"10015",251632,"SODIUM CHLORIDE","MG/ML","5.64",""
"10016",251641,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"10017",251641,"GLUCOSE (ANHYDROUS)","MG/ML","42.50",""
"10018",251641,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10019",251641,"NATRII LACTAS","MG/ML","3.93",""
"10020",251641,"SODIUM CHLORIDE","MG/ML","5.64",""
"10021",251657,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"10022",251657,"GLUCOSE (ANHYDROUS)","MG/ML","0.42",""
"10023",251657,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10024",251657,"NATRII LACTAS","MG/ML","3.93",""
"10025",251657,"SODIUM CHLORIDE","MG/ML","5.64",""
"10026",251666,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"10027",251666,"GLUCOSE (ANHYDROUS)","MG/ML","42.50",""
"10028",251666,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10029",251666,"NATRII LACTAS","MG/ML","3.93",""
"10030",251666,"SODIUM CHLORIDE","MG/ML","5.64",""
"10031",251675,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"10032",251675,"GLUCOSE (ANHYDROUS)","MG/ML","42.50",""
"10033",251675,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10034",251675,"NATRII LACTAS","MG/ML","3.93",""
"10035",251675,"SODIUM CHLORIDE","MG/ML","5.64",""
"10036",251684,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.26",""
"10037",251684,"GLUCOSE (ANHYDROUS)","MG/ML","42.50",""
"10038",251684,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10039",251684,"NATRII LACTAS","MG/ML","3.93",""
"10040",251684,"SODIUM CHLORIDE","MG/ML","5.64",""
"10041",251702,"ERYSIMI (EXTRACTUM SICCUM)","MG","10.00",""
"10042",251711,"HEPATITIS A VIRUS ANTIGENE (HAV ANTIGEN) VACCIN","","Q.S.",""
"10043",251754,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10044",251754,"GLUCOSE (ANHYDROUS)","MG/ML","15.00",""
"10045",251754,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10046",251754,"NATRII LACTAS","MG/ML","3.93",""
"10047",251754,"SODIUM CHLORIDE","MG/ML","5.64",""
"10048",251763,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10049",251763,"GLUCOSE (ANHYDROUS)","MG/ML","15.00",""
"10050",251763,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10051",251763,"NATRII LACTAS","MG/ML","3.93",""
"10052",251763,"SODIUM CHLORIDE","MG/ML","5.64",""
"10053",251772,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10054",251772,"GLUCOSE (ANHYDROUS)","MG/ML","15.00",""
"10055",251772,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10056",251772,"NATRII LACTAS","MG/ML","3.93",""
"10057",251772,"SODIUM CHLORIDE","MG/ML","5.64",""
"10058",251781,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10059",251781,"GLUCOSE (ANHYDROUS)","MG/ML","15.00",""
"10060",251781,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10061",251781,"NATRII LACTAS","MG/ML","3.93",""
"10062",251781,"SODIUM CHLORIDE","MG/ML","5.64",""
"10063",251797,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10064",251797,"GLUCOSE (ANHYDROUS)","MG/ML","15.00",""
"10065",251797,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10066",251797,"NATRII LACTAS","MG/ML","3.93",""
"10067",251797,"SODIUM CHLORIDE","MG/ML","5.64",""
"10068",251806,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10069",251806,"GLUCOSE (ANHYDROUS)","MG/ML","22.73",""
"10070",251806,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10071",251806,"NATRII LACTAS","MG/ML","3.93",""
"10072",251806,"SODIUM CHLORIDE","MG/ML","5.64",""
"10073",251815,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10074",251815,"GLUCOSE (ANHYDROUS)","MG/ML","22.73",""
"10075",251815,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10076",251815,"NATRII LACTAS","MG/ML","3.93",""
"10077",251815,"SODIUM CHLORIDE","MG/ML","5.64",""
"10078",251824,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10079",251824,"GLUCOSE (ANHYDROUS)","MG/ML","22.73",""
"10080",251824,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10081",251824,"NATRII LACTAS","MG/ML","3.93",""
"10082",251824,"SODIUM CHLORIDE","MG/ML","5.64",""
"10083",251833,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10084",251833,"GLUCOSE (ANHYDROUS)","MG/ML","22.73",""
"10085",251833,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10086",251833,"NATRII LACTAS","MG/ML","3.93",""
"10087",251833,"SODIUM CHLORIDE","MG/ML","5.64",""
"10088",251842,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10089",251842,"GLUCOSE (ANHYDROUS)","MG/ML","22.73",""
"10090",251842,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10091",251842,"NATRII LACTAS","MG/ML","3.93",""
"10092",251842,"SODIUM CHLORIDE","MG/ML","5.64",""
"10093",251851,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10094",251851,"GLUCOSE (ANHYDROUS)","MG/ML","42.50",""
"10095",251851,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10096",251851,"NATRII LACTAS","MG/ML","3.93",""
"10097",251851,"SODIUM CHLORIDE","MG/ML","5.64",""
"10098",251867,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10099",251867,"GLUCOSE (ANHYDROUS)","MG/ML","42.50",""
"10100",251867,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10101",251867,"NATRII LACTAS","MG/ML","3.93",""
"10102",251867,"SODIUM CHLORIDE","MG/ML","5.64",""
"10103",251876,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10104",251876,"GLUCOSE (ANHYDROUS)","MG/ML","42.50",""
"10105",251876,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10106",251876,"NATRII LACTAS","MG/ML","3.93",""
"10107",251876,"SODIUM CHLORIDE","MG/ML","5.64",""
"10108",251885,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10109",251885,"GLUCOSE (ANHYDROUS)","MG/ML","0.42",""
"10110",251885,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10111",251885,"NATRII LACTAS","MG/ML","3.93",""
"10112",251885,"SODIUM CHLORIDE","MG/ML","5.64",""
"10113",251894,"CALCIUM CHLORIDE (DIHYDRATE)","MG/ML","0.18",""
"10114",251894,"GLUCOSE (ANHYDROUS)","MG/ML","42.50",""
"10115",251894,"MAGNESIUM CHLORIDE HEXAHYDRATE","MG/ML","0.10",""
"10116",251894,"NATRII LACTAS","MG/ML","3.93",""
"10117",251894,"SODIUM CHLORIDE","MG/ML","5.64",""
"10118",251903,"ADEFOVIRI DIPIVOXILUM","MG","10.00",""
"10119",251912,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","5.00",""
"10120",251921,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","5.00",""
"10121",251937,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","5.00",""
"10122",251946,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","5.00",""
"10123",251955,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","10.00",""
"10124",251964,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","10.00",""
"10125",251973,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","10.00",""
"10126",251982,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","10.00",""
"10127",252165,"ALBUMIN HUMAN","MG/ML","50.00",""
"10128",252174,"ALBUMIN HUMAN","MG/ML","50.00",""
"10129",252183,"ALBUMIN HUMAN","MG/ML","50.00",""
"10130",252192,"ALBUMIN HUMAN","MG/ML","200.00",""
"10131",252201,"ALBUMIN HUMAN","MG/ML","200.00",""
"10132",252217,"ALANINE","MG/ML","10.35",""
"10133",252217,"ARGININE","MG/ML","5.75",""
"10134",252217,"GLUCOSE (ANHYDROUS)","MG/ML","125.00",""
"10135",252217,"GLYCINE","MG/ML","5.15",""
"10136",252217,"HISTIDINE","MG/ML","2.40",""
"10137",252217,"ISOLEUCINE","MG/ML","3.00",""
"10138",252217,"LEUCINE","MG/ML","3.65",""
"10139",252217,"LYSINE","MG/ML","2.90",""
"10140",252217,"METHIONINE","MG/ML","2.00",""
"10141",252217,"PHENYLALANINE","MG/ML","2.80",""
"10142",252217,"PROLINE","MG/ML","3.40",""
"10143",252217,"SERINE","MG/ML","2.50",""
"10144",252217,"SOYA BEAN + OLIVE OIL","MG/ML","30.00",""
"10145",252217,"THREONINE","MG/ML","2.10",""
"10146",252217,"TRYPTOPHAN","MG/ML","0.90",""
"10147",252217,"TYROSINE","MG/ML","0.20",""
"10148",252217,"VALINE","MG/ML","2.90",""
"10149",252226,"LITHIUM CHLORIDE","MG/ML","6.36",""
"10150",252235,"VARDENAFIL (HYDROCHLORIDE TRIHYDRATE)","MG","20.00",""
